County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,True,Stephen F. Austin,122.0,3.505747126436782,0.8333333333333334,True,68.585988588261,99.16666666666667,96.49425287356321,83.34184486884314,🔥 TOP PRIORITY
HASKELL,134.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,True,Texas Tech,27.0,20.149253731343283,0.0,False,41.2544488682863,100.0,79.85074626865672,0.0,⚫ Small Market
HAYS,6278.0,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,True,TXST,1466.0,23.351385791653392,23.351385791653392,True,73.54710377208626,76.6486142083466,76.6486142083466,0.0,⭐ TXST Territory
HEMPHILL,186.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,17.20430107526882,0.0,False,43.99478371875844,100.0,82.79569892473118,0.0,⚫ Small Market
HENDERSON,860.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.162790697674419,0.0,True,56.83707371612636,100.0,98.83720930232558,78.18597871852829,🔥 TOP PRIORITY
HENDERSON COU,749.0,19.0,0.0,12.0,5.0,6.0,0.0,7.0,0.0,True,TXST,19.0,2.53671562082777,2.53671562082777,True,55.67628398791986,97.46328437917224,97.46328437917224,0.0,⭐ TXST Territory
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,True,Texas A&M,1602.0,3.421322398769862,1.9818896292499573,True,90.4449762119076,98.01811037075004,96.57867760123014,93.94365673742485,🔥 TOP PRIORITY
HILL,977.0,6.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.023541453428864,0.6141248720573182,True,57.90866351934941,99.38587512794268,98.97645854657114,78.56538600737173,🔥 TOP PRIORITY
HOCKLEY,905.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,True,Texas Tech,48.0,5.303867403314917,0.0,True,57.26553079718113,100.0,94.69613259668509,77.57199191792759,🔥 TOP PRIORITY
HOOD,1392.0,48.0,13.0,76.0,97.0,0.0,0.0,35.0,0.0,True,Texas Tech,97.0,6.968390804597702,3.4482758620689653,True,60.88340357508072,96.55172413793103,93.0316091954023,78.01354086800013,🔥 TOP PRIORITY
HOPKINS,999.0,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,True,Texas A&M,46.0,4.604604604604605,0.0,True,58.09575402463467,100.0,95.3953953953954,78.12695609139641,🔥 TOP PRIORITY
HOUSTON,437.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,2.2883295194508007,0.0,False,51.15281006209561,100.0,97.7116704805492,0.0,⚫ Small Market
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,4.336399474375821,0.0,True,55.809782375006165,100.0,95.66360052562418,77.03761129262791,🔥 TOP PRIORITY
HUDSPETH,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,33.54824058149573,100.0,100.0,0.0,⚫ Small Market
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,True,UNT,90.0,3.839590443686007,0.2559726962457337,True,65.26366329005427,99.74402730375427,96.160409556314,81.78712174741621,🔥 TOP PRIORITY
HUTCHINSON,362.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,True,Texas Tech,21.0,5.801104972375691,0.0,False,49.57323520471023,100.0,94.1988950276243,0.0,⚫ Small Market
HUTCHINSON CO,376.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,True,Texas Tech,19.0,5.053191489361701,0.0,False,49.89149778835031,100.0,94.9468085106383,0.0,⚫ Small Market
